time,et_day_livneh_vic
1950-12-10 00:00:00+00:00,0.059911307
1950-12-11 00:00:00+00:00,0.053124156
1950-12-12 00:00:00+00:00,0.050625727
1950-12-13 00:00:00+00:00,0.047656782
1950-12-14 00:00:00+00:00,0.03457088
1950-12-15 00:00:00+00:00,0.03830658
1950-12-16 00:00:00+00:00,0.043584075
1950-12-17 00:00:00+00:00,0.03877358
1950-12-18 00:00:00+00:00,0.036645588
1950-12-19 00:00:00+00:00,0.03432135
1950-12-20 00:00:00+00:00,0.03769993
1950-12-21 00:00:00+00:00,0.033922672
1950-12-22 00:00:00+00:00,0.033791333
1950-12-23 00:00:00+00:00,0.036717962
1950-12-24 00:00:00+00:00,0.03552636
1950-12-25 00:00:00+00:00,0.029234868
1950-12-26 00:00:00+00:00,0.021343151
1950-12-27 00:00:00+00:00,0.01990164
1950-12-28 00:00:00+00:00,0.019530741
1950-12-29 00:00:00+00:00,0.023538258
1950-12-30 00:00:00+00:00,0.028489448
1950-12-31 00:00:00+00:00,0.071292825
1951-01-01 00:00:00+00:00,0.029803555
1951-01-02 00:00:00+00:00,0.010231238
1951-01-03 00:00:00+00:00,0.0123307435
1951-01-04 00:00:00+00:00,0.026251262
1951-01-05 00:00:00+00:00,0.06451453
1951-01-06 00:00:00+00:00,0.017572151
1951-01-07 00:00:00+00:00,0.014546658
1951-01-08 00:00:00+00:00,0.01372611
1951-01-09 00:00:00+00:00,0.13808106
1951-01-10 00:00:00+00:00,0.7865695
1951-01-11 00:00:00+00:00,1.7432487
1951-01-12 00:00:00+00:00,1.8543408
1951-01-13 00:00:00+00:00,0.24854493
1951-01-14 00:00:00+00:00,0.20401868
1951-01-15 00:00:00+00:00,0.21956575
1951-01-16 00:00:00+00:00,0.3098789
1951-01-17 00:00:00+00:00,0.21146412
1951-01-18 00:00:00+00:00,0.28367823
1951-01-19 00:00:00+00:00,0.34272835
1951-01-20 00:00:00+00:00,0.18393281
1951-01-21 00:00:00+00:00,0.18413174
1951-01-22 00:00:00+00:00,0.19195557
1951-01-23 00:00:00+00:00,0.19175017
1951-01-24 00:00:00+00:00,0.23740332
1951-01-25 00:00:00+00:00,0.22678012
1951-01-26 00:00:00+00:00,0.20103315
1951-01-27 00:00:00+00:00,0.19525976
1951-01-28 00:00:00+00:00,0.40478626
1951-01-29 00:00:00+00:00,2.9740276
1951-01-30 00:00:00+00:00,1.0809629
1951-01-31 00:00:00+00:00,0.26643947
1951-02-01 00:00:00+00:00,0.18153839
1951-02-02 00:00:00+00:00,0.20973974
1951-02-03 00:00:00+00:00,0.24855575
1951-02-04 00:00:00+00:00,0.2752079
1951-02-05 00:00:00+00:00,0.2701653
1951-02-06 00:00:00+00:00,0.30121043
1951-02-07 00:00:00+00:00,0.34977192
1951-02-08 00:00:00+00:00,0.3485126
1951-02-09 00:00:00+00:00,0.34581432
1951-02-10 00:00:00+00:00,0.31548312
1951-02-11 00:00:00+00:00,0.25023484
1951-02-12 00:00:00+00:00,0.4061182
1951-02-13 00:00:00+00:00,0.23396467
1951-02-14 00:00:00+00:00,0.20104373
1951-02-15 00:00:00+00:00,0.18366633
1951-02-16 00:00:00+00:00,0.16634597
1951-02-17 00:00:00+00:00,0.19143255
1951-02-18 00:00:00+00:00,0.14886236
1951-02-19 00:00:00+00:00,0.13439067
1951-02-20 00:00:00+00:00,0.13729881
1951-02-21 00:00:00+00:00,0.18052223
1951-02-22 00:00:00+00:00,0.23855194
1951-02-23 00:00:00+00:00,0.30345914
1951-02-24 00:00:00+00:00,0.18082245
1951-02-25 00:00:00+00:00,0.14076202
1951-02-26 00:00:00+00:00,0.34743497
1951-02-27 00:00:00+00:00,0.64148676
1951-02-28 00:00:00+00:00,0.40371376
1951-03-01 00:00:00+00:00,0.8609254
1951-03-02 00:00:00+00:00,0.55846703
1951-03-03 00:00:00+00:00,0.14832948
1951-03-04 00:00:00+00:00,0.15330675
1951-03-05 00:00:00+00:00,0.17651851
1951-03-06 00:00:00+00:00,0.16072011
1951-03-07 00:00:00+00:00,0.18162617
1951-03-08 00:00:00+00:00,0.2006485
1951-03-09 00:00:00+00:00,0.18704598
1951-03-10 00:00:00+00:00,0.16528888
1951-03-11 00:00:00+00:00,0.15519942
1951-03-12 00:00:00+00:00,0.17799002
1951-03-13 00:00:00+00:00,0.20927173
1951-03-14 00:00:00+00:00,0.21977879
1951-03-15 00:00:00+00:00,0.21815836
1951-03-16 00:00:00+00:00,0.2009022
1951-03-17 00:00:00+00:00,0.17006086
