time,soilmoist1_month_CanESM2_rcp85
2040-07-31 00:00:00+00:00,7.124593
2040-08-31 00:00:00+00:00,9.348214
2040-09-30 00:00:00+00:00,5.9269266
2040-10-31 00:00:00+00:00,5.4474645
2040-11-30 00:00:00+00:00,6.3493805
2040-12-31 00:00:00+00:00,15.694886
2041-01-31 00:00:00+00:00,11.956018
2041-02-28 00:00:00+00:00,14.62282
2041-03-31 00:00:00+00:00,11.52262
2041-04-30 00:00:00+00:00,6.9546905
2041-05-31 00:00:00+00:00,6.0698557
2041-06-30 00:00:00+00:00,5.587508
2041-07-31 00:00:00+00:00,6.1084642
2041-08-31 00:00:00+00:00,14.646719
2041-09-30 00:00:00+00:00,7.5855165
2041-10-31 00:00:00+00:00,5.5789905
2041-11-30 00:00:00+00:00,7.2184134
2041-12-31 00:00:00+00:00,7.9037094
2042-01-31 00:00:00+00:00,12.950449
2042-02-28 00:00:00+00:00,15.343505
2042-03-31 00:00:00+00:00,15.025127
2042-04-30 00:00:00+00:00,6.253667
2042-05-31 00:00:00+00:00,5.469592
2042-06-30 00:00:00+00:00,5.4753523
2042-07-31 00:00:00+00:00,6.0852723
2042-08-31 00:00:00+00:00,5.989462
2042-09-30 00:00:00+00:00,5.866478
2042-10-31 00:00:00+00:00,5.4596314
2042-11-30 00:00:00+00:00,5.914441
2042-12-31 00:00:00+00:00,8.452748
2043-01-31 00:00:00+00:00,6.705059
2043-02-28 00:00:00+00:00,6.4465423
2043-03-31 00:00:00+00:00,7.749411
2043-04-30 00:00:00+00:00,5.4946494
2043-05-31 00:00:00+00:00,5.33885
2043-06-30 00:00:00+00:00,5.314296
2043-07-31 00:00:00+00:00,6.8057814
2043-08-31 00:00:00+00:00,6.6247516
2043-09-30 00:00:00+00:00,5.671639
2043-10-31 00:00:00+00:00,5.5705533
2043-11-30 00:00:00+00:00,6.620923
2043-12-31 00:00:00+00:00,8.262605
2044-01-31 00:00:00+00:00,6.9676466
2044-02-29 00:00:00+00:00,7.913478
2044-03-31 00:00:00+00:00,7.0836124
2044-04-30 00:00:00+00:00,6.4798756
2044-05-31 00:00:00+00:00,5.5676913
2044-06-30 00:00:00+00:00,5.3326545
2044-07-31 00:00:00+00:00,6.3564134
2044-08-31 00:00:00+00:00,10.215046
2044-09-30 00:00:00+00:00,6.2923517
2044-10-31 00:00:00+00:00,5.612266
2044-11-30 00:00:00+00:00,5.8434176
2044-12-31 00:00:00+00:00,16.113995
2045-01-31 00:00:00+00:00,21.609125
2045-02-28 00:00:00+00:00,16.378958
2045-03-31 00:00:00+00:00,9.718397
2045-04-30 00:00:00+00:00,7.222048
2045-05-31 00:00:00+00:00,6.103724
2045-06-30 00:00:00+00:00,5.4796257
2045-07-31 00:00:00+00:00,5.5904846
2045-08-31 00:00:00+00:00,6.466786
2045-09-30 00:00:00+00:00,5.7155175
2045-10-31 00:00:00+00:00,6.0657983
2045-11-30 00:00:00+00:00,8.345785
2045-12-31 00:00:00+00:00,6.384139
2046-01-31 00:00:00+00:00,8.345251
2046-02-28 00:00:00+00:00,10.247053
2046-03-31 00:00:00+00:00,6.9859266
2046-04-30 00:00:00+00:00,6.644516
2046-05-31 00:00:00+00:00,5.8070207
2046-06-30 00:00:00+00:00,5.3956437
2046-07-31 00:00:00+00:00,6.6233106
2046-08-31 00:00:00+00:00,6.0360193
2046-09-30 00:00:00+00:00,6.20852
2046-10-31 00:00:00+00:00,6.2313514
