boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,High (RCP 8.5)
climate indicator,Maximum Temperature
units,°F

year,Modeled RCP 8.5 Range Min,Modeled RCP 8.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2045,80.5675888062,87.048538208,,81.9412078857,83.9060592651,84.063873291,84.5060272217
2046,80.6628417969,86.0654220581,,85.5480194092,82.2531661987,84.1094665527,85.273147583
2047,81.2297363281,85.2696838379,,84.3013458252,82.4179611206,85.0927429199,84.00340271
2048,80.1927947998,86.1456756592,,83.1764526367,81.3265838623,83.6738128662,81.8885803223
2049,80.4093856812,87.1776733398,,84.9631652832,83.3348236084,85.6187133789,84.625
2050,80.3712615967,87.0645141602,,83.4976425171,81.6207885742,84.5956726074,85.731552124
2051,81.1043243408,86.9326324463,,85.8530578613,83.6641387939,84.500579834,84.4410400391
2052,81.0788879395,89.3018341064,,85.5259933472,83.3081283569,85.9467697144,82.3401184082
2053,80.7850646973,86.48878479,,85.5172042847,83.4750061035,85.1842041016,85.6992492676
2054,81.375793457,87.3556060791,,86.6022186279,84.6837310791,85.6367950439,83.8912811279
2055,81.10597229,86.6058349609,,83.8487091064,83.9285812378,85.70287323,85.3343353271
2056,80.9541473389,87.5230865479,,84.745803833,84.5827636719,86.6258850098,83.760925293
2057,79.5492706299,87.3921813965,,87.2587585449,84.3569335938,84.2547149658,85.5781784058
2058,82.2874984741,87.6972808838,,84.958984375,84.5984725952,87.5628051758,83.2924194336
2059,82.474319458,88.7240600586,,85.8298187256,83.1913452148,86.1196899414,82.8629608154
2060,82.0879821777,88.3430023193,,85.0768737793,86.0550994873,87.7783508301,83.04296875
2061,81.8495788574,87.8973388672,,86.1329345703,84.1948852539,85.6681518555,85.3150024414
2062,82.7747955322,88.9777832031,,85.0631408691,86.1651763916,88.9777832031,87.4394836426
