boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,Medium (RCP 4.5)
climate indicator,Minimum Temperature
units,°F

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2071,52.7265319824,57.76222229,,56.4433135986,55.1416015625,56.946269989,56.4959411621
2072,51.9877548218,59.4302215576,,57.2109298706,56.3803100586,57.3705062866,57.5721054077
2073,50.6472587585,57.8151779175,,56.2657241821,56.1143302917,56.2807731628,54.781578064
2074,52.547618866,59.1423797607,,59.1354598999,56.3201065063,58.0123825073,54.595413208
2075,52.5599784851,59.4900970459,,57.0290527344,55.7355194092,56.3075790405,55.9233856201
2076,53.4564628601,58.5954818726,,56.965221405,56.6211853027,58.538848877,56.1419067383
2077,52.4326477051,58.651184082,,57.563041687,55.3883514404,57.1192474365,55.4644317627
2078,51.7145805359,58.8628349304,,56.7855377197,55.9922714233,56.9741210938,55.0047111511
2079,52.698348999,59.1195297241,,58.6781005859,56.366355896,57.4098930359,56.7045707703
2080,52.1710624695,59.2615814209,,57.3011856079,54.8003082275,56.5681762695,54.2275390625
2081,52.2500534058,58.946937561,,55.1753845215,55.5613861084,58.4134368896,57.0454788208
2082,52.8674316406,58.4493103027,,56.7514266968,57.154624939,57.1321029663,55.9360198975
2083,51.5279769897,58.8613510132,,55.7560653687,56.2707214355,57.6966362,56.5220870972
2084,52.5550918579,58.5768585205,,57.6511001587,55.711681366,57.8113861084,55.4453735352
2085,51.7853317261,58.6108093262,,57.7842521667,55.979473114,58.5939445496,56.433265686
2086,51.9324417114,58.1837158203,,57.2898101807,56.78855896,56.8512954712,56.8636550903
2087,53.1210479736,59.7437744141,,58.9777526855,55.9507980347,58.2270011902,55.4326286316
2088,53.6675109863,58.9650650024,,57.2140617371,55.5944595337,56.5833892822,56.6449127197
2089,51.5724182129,59.4136352539,,56.1277885437,54.878036499,57.1949996948,56.9872512817
2090,52.8550186157,57.8981781006,,56.9613761902,55.6410369873,57.7175102234,54.826675415
2091,53.6019744873,58.6822738647,,55.8081970215,57.0773391724,57.7044372559,55.0528335571
2092,52.3656845093,58.649810791,,58.6166305542,57.1066703796,56.6472244263,56.1139984131
2093,52.6463317871,57.5886955261,,57.2298812866,56.1517944336,55.6381835938,55.9058647156
2094,53.2273406982,58.286491394,,56.0194625854,56.7169303894,58.0369377136,55.5873184204
2095,51.4414596558,59.1067314148,,57.0477294922,57.1402359009,57.7245407104,57.0682754517
2096,52.3242645264,59.4793319702,,56.2902755737,56.4733085632,57.1241378784,56.7008361816
2097,52.7817382812,58.1825637817,,57.6115493774,56.5893783569,57.4378509521,57.1153488159
2098,52.9826202393,60.0166740417,,57.9116363525,56.7791137695,58.5146789551,56.6984710693
2099,52.6998901367,59.1958312988,,57.3997306824,57.593421936,55.9297027588,57.3011856079
2100,52.355796814,59.0985488892,,58.7010612488,55.7583732605,,
